Title-and-Abstract-Based-screening,Inclusion/esclusion-criteria-screening (yes: include no: esclude),Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
,,Internet of Things (IoT) for Secure and Sustainable Healthcare Intelligence: Analysis and Challenges,Applied Informatics,,,,10.1007/978-3-031-19647-8_4,Sunday Adeola AjagbeSanjay MisraOluwaseyi F. AfeKikelomo I. Okesola,2022,http://link.springer.com/chapter/10.1007/978-3-031-19647-8_4,Chapter
,,Smart Systems for Monitoring Buildings - An IoT Application,"Optimization, Learning Algorithms and Applications",,,,10.1007/978-3-031-23236-7_40,Rebeca B. KalbermatterThadeu BritoJoão BraunAna I. PereiraÂngela P. FerreiraAntónio ValenteJosé Lima,2022,http://link.springer.com/chapter/10.1007/978-3-031-23236-7_40,Chapter
,,Quality of Service Support Through a Self-adaptive System in Edge Computing Environments,Cloud Computing and Services Science,,,,10.1007/978-3-031-21637-4_5,Abdullah Fawaz AljulayfiKarim Djemame,2022,http://link.springer.com/chapter/10.1007/978-3-031-21637-4_5,Chapter
,,Digital Twin Ecosystems: Potential Stakeholders and Their Requirements,Software Business,,,,10.1007/978-3-031-20706-8_2,Reshani LiyanageNirnaya TripathiTero PäivärintaYueqiang Xu,2022,http://link.springer.com/chapter/10.1007/978-3-031-20706-8_2,Chapter
,,Towards Scalable Blockchains Using Service-Oriented Architectures,Service-Oriented Computing – ICSOC 2021 Workshops,,,,10.1007/978-3-031-14135-5_31,Ali DorriRaja JurdakAmin BeheshtiAlistair Barros,2022,http://link.springer.com/chapter/10.1007/978-3-031-14135-5_31,Chapter
,,Customer-Centric Service Design: Featuring Service Use in Life Practices,Collaborative Networks in Digitalization and Society 5.0,,,,10.1007/978-3-031-14844-6_15,Garyfallos FragidisDimitri Konstantas,2022,http://link.springer.com/chapter/10.1007/978-3-031-14844-6_15,Chapter
,,Vehicle as Fog Server in Intelligent Transportation System,Advancements in Interdisciplinary Research,,,,10.1007/978-3-031-23724-9_9,Deep Chandra BinwalRajeev TiwariMonit Kapoor,2022,http://link.springer.com/chapter/10.1007/978-3-031-23724-9_9,Chapter
,,How to Solve a Classification Problem Using a Cooperative Tiling Multi-agent System?,"Advances in Practical Applications of Agents, Multi-Agent Systems, and Complex Systems Simulation. The PAAMS Collection",,,,10.1007/978-3-031-18192-4_14,Thibault FourezNicolas VerstaevelFrédéric MigeonFrédéric SchettiniFrédéric Amblard,2022,http://link.springer.com/chapter/10.1007/978-3-031-18192-4_14,Chapter
,,On-Edge Aggregation Strategies over Industrial Data Produced by Autonomous Guided Vehicles,Computational Science – ICCS 2022,,,,10.1007/978-3-031-08760-8_39,Piotr GrzesikPaweł BeneckiDaniel KostrzewaBohdan ShubynDariusz Mrozek,2022,http://link.springer.com/chapter/10.1007/978-3-031-08760-8_39,Chapter
,,Railway Digital Twins and Artificial Intelligence: Challenges and Design Guidelines,Dependable Computing – EDCC 2022 Workshops,,,,10.1007/978-3-031-16245-9_8,Ruth DirnfeldLorenzo De DonatoFrancesco FlamminiMehdi Saman AzariValeria Vittorini,2022,http://link.springer.com/chapter/10.1007/978-3-031-16245-9_8,Chapter
,,SWIoTA: Anomaly Detection for Distributed Ledger Technology-Based Internet of Things (IOTA) Using Sliding Window (SW) Technique,Internet of Things. IoT through a Multi-disciplinary Perspective,,,,10.1007/978-3-031-18872-5_11,Sathish A. P. KumarNorman AhmedAnastasios Bikos,2022,http://link.springer.com/chapter/10.1007/978-3-031-18872-5_11,Chapter
,,Urban Heat Island Detection Utilizing Citizen Science,Advances in Service-Oriented and Cloud Computing,,,,10.1007/978-3-031-23298-5_9,Philipp KistersVinh NguJanick Edinger,2022,http://link.springer.com/chapter/10.1007/978-3-031-23298-5_9,Chapter
,,Towards Reinforcement Learning-based Aggregate Computing,Coordination Models and Languages,,,,10.1007/978-3-031-08143-9_5,Gianluca AguzziRoberto CasadeiMirko Viroli,2022,http://link.springer.com/chapter/10.1007/978-3-031-08143-9_5,Chapter
,,A Look into the Vulnerability of Voice Assisted IoT,Computer  Information Systems and  Industrial Management,,,,10.1007/978-3-031-10539-5_4,Raghunath MajiAtreyee BiswasRituparna Chaki,2022,http://link.springer.com/chapter/10.1007/978-3-031-10539-5_4,Chapter
,,Fair Food Delivery Trading System Based on Edge Computing and Stackelberg Game,Edge Computing – EDGE 2022,,,,10.1007/978-3-031-23470-5_2,Tao WuXuefeng ZanLei XuYuang ChenKai Liu,2022,http://link.springer.com/chapter/10.1007/978-3-031-23470-5_2,Chapter
,,Detection of Motorcyclists Without a Safety Helmet Through YOLO: Support for Road Safety,Technologies and Innovation,,,,10.1007/978-3-031-19961-5_8,Oscar J. M. Peña CáceresManuel A. More-MoreJorge F. Yáñez-PalaciosTeresa Samaniego-CoboJimmy Vargas-Vargas,2022,http://link.springer.com/chapter/10.1007/978-3-031-19961-5_8,Chapter
,,Traffic Flow Prediction Using Deep Learning Techniques,"Computing Science, Communication and Security",,,,10.1007/978-3-031-10551-7_15,Shubhashish GoswamiAbhimanyu Kumar,2022,http://link.springer.com/chapter/10.1007/978-3-031-10551-7_15,Chapter
,,Cyberbullying Through the Lens of Data Science,Information and Communication Technologies,,,,10.1007/978-3-031-18272-3_16,Alexandra BermeoMaría-Inés Acosta-UrigüenMarcos OrellanaSebastián I. Valdivieso Albán,2022,http://link.springer.com/chapter/10.1007/978-3-031-18272-3_16,Chapter
,,LSTM Acceleration with FPGA and GPU Devices for Edge Computing Applications in B5G MEC,"Embedded Computer Systems: Architectures, Modeling, and Simulation",,,,10.1007/978-3-031-15074-6_26,Dimitrios DanopoulosIoannis StamouliasGeorge LentarisDimosthenis MasourosIoannis KanaropoulosAndreas Kosmas KakolyrisDimitrios Soudris,2022,http://link.springer.com/chapter/10.1007/978-3-031-15074-6_26,Chapter
,,An Experimental Analysis of Function Performance with Resource Allocation on Serverless Platform,Cloud Computing – CLOUD 2021,,,,10.1007/978-3-030-96326-2_2,Yonghe ZhangKejiang YeCheng-Zhong Xu,2022,http://link.springer.com/chapter/10.1007/978-3-030-96326-2_2,Chapter
,,Neural Predictive Monitoring for Collective Adaptive Systems,"Leveraging Applications of Formal Methods, Verification and Validation. Adaptation and Learning",,,,10.1007/978-3-031-19759-8_3,Francesca CairoliNicola PaolettiLuca Bortolussi,2022,http://link.springer.com/chapter/10.1007/978-3-031-19759-8_3,Chapter
,,Development of Smart Sensor for IoT Based Environmental Data Analysis Through Edge Computing,"Computing Science, Communication and Security",,,,10.1007/978-3-031-10551-7_1,Abhijit Chatterjee,2022,http://link.springer.com/chapter/10.1007/978-3-031-10551-7_1,Chapter
,,An IoT Authentication Framework for Urban Infrastructure Security Using Blockchain and Deep Learning,Engineering Applications of Neural Networks,,,,10.1007/978-3-031-08223-8_24,Anastasios Panagiotis PsathasLazaros IliadisAntonios PapaleonidasDimitris Bountas,2022,http://link.springer.com/chapter/10.1007/978-3-031-08223-8_24,Chapter
,,The Use of Deep Learning in the Classification of Buildings at the Post-revolutionary City of Athens,Trandisciplinary Multispectral Modelling and Cooperation for the Preservation of Cultural Heritage,,,,10.1007/978-3-031-20253-7_10,Ioannis KosmopoulosKonstantina SiountriChristos-Nikolaos Anagnostopoulos,2022,http://link.springer.com/chapter/10.1007/978-3-031-20253-7_10,Chapter
,,The Dialectic Interrelation Between Digital Organization Architecture Elements,Information Systems and Design,,,,10.1007/978-3-030-95494-9_15,Vladimir V. GodinAnna E. Terekhova,2022,http://link.springer.com/chapter/10.1007/978-3-030-95494-9_15,Chapter
,,A Feature and Classifier Study for Appliance Event Classification,Sustainable Energy for Smart Cities,,,,10.1007/978-3-030-97027-7_7,Benjamin VölkerPhilipp M. SchollBernd Becker,2022,http://link.springer.com/chapter/10.1007/978-3-030-97027-7_7,Chapter
,,Towards Model Checking Video Streams Using VoxLogicA on GPUs,From Data to Models and Back,,,,10.1007/978-3-031-16011-0_6,Laura BussiVincenzo CianciaFabio GadducciDiego LatellaMieke Massink,2022,http://link.springer.com/chapter/10.1007/978-3-031-16011-0_6,Chapter
,,Alignment Techniques in Domain-Specific Models,Technologies and Innovation,,,,10.1007/978-3-031-19961-5_4,Paola Grijalva-ArriagaGalo Cornejo-GómezRaquel Gómez-ChablaLeandro AntonelliPablo Thomas,2022,http://link.springer.com/chapter/10.1007/978-3-031-19961-5_4,Chapter
,,Semantic Inferences Towards Smart IoT-Based Systems Actuation Conflicts Management,Internet of Things. IoT through a Multi-disciplinary Perspective,,,,10.1007/978-3-031-18872-5_15,Gérald RocherJean-Yves TigliStéphane Lavirotte,2022,http://link.springer.com/chapter/10.1007/978-3-031-18872-5_15,Chapter
,,"Front-End Framework to Improve HCI, Evaluated Using an Eye-Tracking","Advanced Research in Technologies, Information, Innovation and Sustainability",,,,10.1007/978-3-031-20319-0_19,Bryan Marcillo-DelgadoGema Giler-VelásquezMónica Vaca-CardenasLeticia Vaca-Cardenas,2022,http://link.springer.com/chapter/10.1007/978-3-031-20319-0_19,Chapter
,,Understanding Social Feedback in Biological Collectives with Smoothed Model Checking,"Leveraging Applications of Formal Methods, Verification and Validation. Adaptation and Learning",,,,10.1007/978-3-031-19759-8_12,Julia KleinTatjana Petrov,2022,http://link.springer.com/chapter/10.1007/978-3-031-19759-8_12,Chapter
,,Architectural Decisions in AI-Based Systems: An Ontological View,Quality of Information and Communications Technology,,,,10.1007/978-3-031-14179-9_2,Xavier FranchSilverio Martínez-FernándezClaudia P. AyalaCristina Gómez,2022,http://link.springer.com/chapter/10.1007/978-3-031-14179-9_2,Chapter
,,Data Collection and Processing Method in the Networks of Industrial IOT,Future Access Enablers for Ubiquitous and Intelligent Infrastructures,,,,10.1007/978-3-031-15101-9_11,Larysa GlobaVasyl KurdechaDemyd PopenkoMaksym BezvuhliakYevgeniy Porolo,2022,http://link.springer.com/chapter/10.1007/978-3-031-15101-9_11,Chapter
,,Automated License Plate Detection and Recognition Using Deep Learning,Advancements in Interdisciplinary Research,,,,10.1007/978-3-031-23724-9_39,Simar VigArchita AroraGreeshma Arya,2022,http://link.springer.com/chapter/10.1007/978-3-031-23724-9_39,Chapter
,,Comparative Analysis of Environmental Internet of Things (IoT) and Its Techniques to Improve Profit Margin in a Small Business,Emerging Technologies in Computer Engineering: Cognitive Computing and Intelligent IoT,,,,10.1007/978-3-031-07012-9_14,Khongdet PhasinamMohammed UsmanSumona BhattacharyaThanwamas KassanukKorakod Tongkachok,2022,http://link.springer.com/chapter/10.1007/978-3-031-07012-9_14,Chapter
,,Agri-Aid: An Automated and Continuous Farmer Health Monitoring System Using IoMT,Internet of Things. IoT through a Multi-disciplinary Perspective,,,,10.1007/978-3-031-18872-5_4,Laavanya Rachakonda,2022,http://link.springer.com/chapter/10.1007/978-3-031-18872-5_4,Chapter
,,EcoLight: Eco-friendly Traffic Signal Control Driven by Urban Noise Prediction,Database and Expert Systems Applications,,,,10.1007/978-3-031-12423-5_16,Chahinez OunoughiGhofrane TouibiSadok Ben Yahia,2022,http://link.springer.com/chapter/10.1007/978-3-031-12423-5_16,Chapter
,,Augmented Virtual Reality in Data Visualization,"Advanced Research in Technologies, Information, Innovation and Sustainability",,,,10.1007/978-3-031-20319-0_22,Pedro AlvesFilipe Portela,2022,http://link.springer.com/chapter/10.1007/978-3-031-20319-0_22,Chapter
,,A Privacy-Preserving Federated Learning with Mutual Verification on Vector Spaces,Security and Privacy in Social Networks and Big Data,,,,10.1007/978-981-19-7242-3_14,Mingwu ZhangChenmei CuiGang ShenYudi Zhang,2022,http://link.springer.com/chapter/10.1007/978-981-19-7242-3_14,Chapter
,,A Deep Learning Approach for Automatic Counting of Bales and Product Boxes in Industrial Production Lines,Computational Science and Its Applications – ICCSA 2022,,,,10.1007/978-3-031-10522-7_42,Rafael J. XavierCharles F. O. ViegasBruno C. CostaRenato P. Ishii,2022,http://link.springer.com/chapter/10.1007/978-3-031-10522-7_42,Chapter
,,Long-Term Person Reidentification: Challenges and Outlook,"Optimization, Learning Algorithms and Applications",,,,10.1007/978-3-031-23236-7_25,Anderson ManhãesGabriel MatosDouglas O. CardosoMilena F. PintoJeferson ColaresPaulo LeitãoDiego BrandãoDiego Haddad,2022,http://link.springer.com/chapter/10.1007/978-3-031-23236-7_25,Chapter
,,Streaming Detection of Significant Delay Changes in Public Transport Systems,Computational Science – ICCS 2022,,,,10.1007/978-3-031-08760-8_41,Przemysław WronaMaciej GrzendaMarcin Luckner,2022,http://link.springer.com/chapter/10.1007/978-3-031-08760-8_41,Chapter
,,Towards a Comprehensive BPMN Extension for Modeling IoT-Aware Processes in Business Process Models,Research Challenges in Information Science,,,,10.1007/978-3-031-05760-1_47,Yusuf KirikkayisFlorian GallikManfred Reichert,2022,http://link.springer.com/chapter/10.1007/978-3-031-05760-1_47,Chapter
,,Lexical Analysis Using Regular Expressions for Information Retrieval from a Legal Corpus,Computer Science – CACIC 2021,,,,10.1007/978-3-031-05903-2_21,Osvaldo Mario SposittoJulio César BosseroEdgardo Javier MorenoViviana Alejandra LedesmaLorena Romina Matteo,2022,http://link.springer.com/chapter/10.1007/978-3-031-05903-2_21,Chapter
,,Sentiment Analysis Applied to IBOVESPA Prediction,"Optimization, Learning Algorithms and Applications",,,,10.1007/978-3-031-23236-7_26,Yngwi Guimarães Vieira SouzaLuís TarratacaDouglas O. CardosoLaura Silva de Assis,2022,http://link.springer.com/chapter/10.1007/978-3-031-23236-7_26,Chapter
,,Integrated Approach to Assessing the Progress of Digital Transformation by Using Multiple Objective and Subjective Indicators,Research Challenges in Information Science,,,,10.1007/978-3-031-05760-1_37,Daniela BorissovaZornitsa DimitrovaNaiden NaidenovRadoslav Yoshinov,2022,http://link.springer.com/chapter/10.1007/978-3-031-05760-1_37,Chapter
,,A Systematic Literature Review on Numerical Weather Prediction Models and Provenance Data,Computational Science and Its Applications – ICCSA 2022 Workshops,,,,10.1007/978-3-031-10542-5_42,Alper TufekMehmet S. Aktas,2022,http://link.springer.com/chapter/10.1007/978-3-031-10542-5_42,Chapter
,,Development of a Cross-Platform Architecture for the Analysis of Vehicular Traffic in a Smart City with Machine Learning Tools,Applied Technologies,,,,10.1007/978-3-030-71503-8_48,Evelyn LomasPriscila CevallosDarwin AlulemaVerónica AlulemaMayerly Saenz,2021,http://link.springer.com/chapter/10.1007/978-3-030-71503-8_48,Chapter
,,Integrating the Meteorological Data into a Smart City Service Using Cloud of Things (CoT),Emerging Technologies in Computing,,,,10.1007/978-3-030-90016-8_7,R. SurendranT. TamilvizhiS. Lakshmi,2021,http://link.springer.com/chapter/10.1007/978-3-030-90016-8_7,Chapter
,,Smart City Tools to Evaluate Age-Healthy Environments,Smart Cities,,,,10.1007/978-3-030-69136-3_20,Irene LebrusánJamal Toutouh,2021,http://link.springer.com/chapter/10.1007/978-3-030-69136-3_20,Chapter
,,Traffic Flow Prediction Using Long-Short Term Memory Technique for Connected Vehicles in Smart Cities,Advances in Visual Informatics,,,,10.1007/978-3-030-90235-3_36,Nuraini ShamsaimonNoor Afiza Mat RazaliKhairani Abd MajidSuzaimah RamliMohd Fahmi Mohamad AmranKhairul Khalil IshakRaslan Ahmad,2021,http://link.springer.com/chapter/10.1007/978-3-030-90235-3_36,Chapter
,,A Review on Cybersecurity of Internet of Things,"Microelectronic Devices, Circuits and Systems",,,,10.1007/978-981-16-5048-2_14,S. BalajiAbhinav JaishankerSarthak GokhaleSakshi SinhalM. Rajeshkumar,2021,http://link.springer.com/chapter/10.1007/978-981-16-5048-2_14,Chapter
,,Crowdsourcing and IoT Towards More Resilient Flooding Prone Cities,Smart Cities,,,,10.1007/978-3-030-69136-3_10,Ponciano J. Escamilla-AmbrosioMaria G. Pulido-NavarroIsabel V. Hernández-GutiérrezAbraham Rodríguez-MotaMarco A. Moreno-Ibarra,2021,http://link.springer.com/chapter/10.1007/978-3-030-69136-3_10,Chapter
,,Energy Efficient Aspects of Federated Learning – Mechanisms and Opportunities,Soft Computing and its Engineering Applications,,,,10.1007/978-981-16-0708-0_4,Shajulin Benedict,2021,http://link.springer.com/chapter/10.1007/978-981-16-0708-0_4,Chapter
,,Towards Agent-Based Traffic Simulation Using Live Data from Sensors for Smart Cities,Multi-Agent-Based Simulation XXI,,,,10.1007/978-3-030-66888-4_3,Yan QianJohan BarthelemyPascal Perez,2021,http://link.springer.com/chapter/10.1007/978-3-030-66888-4_3,Chapter
,,Software Architectures for Edge Analytics: A Survey,Software Architecture,,,,10.1007/978-3-030-86044-8_20,Marie Platenius-MohrHadil AbukwaikJan SchlakeMichael Vach,2021,http://link.springer.com/chapter/10.1007/978-3-030-86044-8_20,Chapter
,,DECS: Collaborative Edge-Edge Data Storage Service for Edge Computing,"Collaborative Computing: Networking, Applications and Worksharing",,,,10.1007/978-3-030-67537-0_23,Fuxiao ZhouHaopeng Chen,2021,http://link.springer.com/chapter/10.1007/978-3-030-67537-0_23,Chapter
,,Smart Distributed DataSets for Stream Processing,Euro-Par 2021: Parallel Processing,,,,10.1007/978-3-030-85665-6_16,Tiago LopesMiguel CoimbraLuís Veiga,2021,http://link.springer.com/chapter/10.1007/978-3-030-85665-6_16,Chapter
,,Big Data Quality Models: A Systematic Mapping Study,Quality of Information and Communications Technology,,,,10.1007/978-3-030-85347-1_30,Osbel MonteroYania CrespoMario Piatini,2021,http://link.springer.com/chapter/10.1007/978-3-030-85347-1_30,Chapter
,,Prototype Framework for the Implementation of Telemedicine Platforms,Knowledge Management in Organizations,,,,10.1007/978-3-030-81635-3_22,Olguer MoralesGiovanny Tarazona,2021,http://link.springer.com/chapter/10.1007/978-3-030-81635-3_22,Chapter
,,System for Monitoring and Control of Vehicle’s Carbon Emissions Using Embedded Hardwares and Cloud Applications,Service-Oriented Computing  – ICSOC 2020 Workshops,,,,10.1007/978-3-030-76352-7_50,Tsvetan TsokovHristo Kostadinov,2021,http://link.springer.com/chapter/10.1007/978-3-030-76352-7_50,Chapter
,,Software Frameworks that Improve HCI Focused on Cognitive Cities. A Systematic Literature Review,"Advanced Research in Technologies, Information, Innovation and Sustainability",,,,10.1007/978-3-030-90241-4_12,Gema Giler-VelásquezBryan Marcillo-DelgadoMónica Vaca-CardenasLeticia Vaca-Cardenas,2021,http://link.springer.com/chapter/10.1007/978-3-030-90241-4_12,Chapter
,,An OWASP Top Ten Driven Survey on Web Application Protection Methods,Risks and Security of Internet and Systems,,,,10.1007/978-3-030-68887-5_14,Ouissem Ben FredjOmar CheikhrouhouMoez KrichenHabib HamamAbdelouahid Derhab,2021,http://link.springer.com/chapter/10.1007/978-3-030-68887-5_14,Chapter
,,A New Vision on Smart and Resilient Urban Mobility in the Aftermath of the Pandemic: Key Factors on European Transport Policies,Computational Science and Its Applications – ICCSA 2021,,,,10.1007/978-3-030-87016-4_43,Tiziana CampisiChiara GarauMatteo IgnaccoloMauro ConiAntonino CanaleGiuseppe InturriVincenza Torrisi,2021,http://link.springer.com/chapter/10.1007/978-3-030-87016-4_43,Chapter
,,The Interoperability Challenge: Building a Model-Driven Digital Thread Platform for CPS,"Leveraging Applications of Formal Methods, Verification and Validation",,,,10.1007/978-3-030-89159-6_25,Tiziana MargariaHafiz Ahmad Awais ChaudharyIvan GuevaraStephen RyanAlexander Schieweck,2021,http://link.springer.com/chapter/10.1007/978-3-030-89159-6_25,Chapter
,,BiDaML in Practice: Collaborative Modeling of Big Data Analytics Application Requirements,Evaluation of Novel Approaches to Software Engineering,,,,10.1007/978-3-030-70006-5_5,Hourieh KhalajzadehAndrew J. SimmonsTarun VermaMohamed AbdelrazekJohn GrundyJohn HoskingQiang HePrasanna RatnakanthanAdil ZiaMeng Law,2021,http://link.springer.com/chapter/10.1007/978-3-030-70006-5_5,Chapter
,,"Ronda: Real-Time Data Provision, Processing and Publication for Open Data",Electronic Government,,,,10.1007/978-3-030-84789-0_12,Fabian KirsteinDario BacherVincent BohlenSonja Schimmler,2021,http://link.springer.com/chapter/10.1007/978-3-030-84789-0_12,Chapter
,,Security and Scalability in Private Permissionless Blockchain: Problems and Solutions Leading to Creating Consent-as-a-Service (CaaS) Deployment,Advances in Computational Collective Intelligence,,,,10.1007/978-3-030-88113-9_22,Hanna GrodzickaMichal KedzioraLech Madeyski,2021,http://link.springer.com/chapter/10.1007/978-3-030-88113-9_22,Chapter
,,A Deep Learning Solution for Integrated Traffic Control Through Automatic License Plate Recognition,Computational Science and Its Applications – ICCSA 2021,,,,10.1007/978-3-030-86970-0_16,Riccardo BaliaSilvio BarraSalvatore CartaGianni FenuAlessandro Sebastian PoddaNicola Sansoni,2021,http://link.springer.com/chapter/10.1007/978-3-030-86970-0_16,Chapter
,,HumaniSE: Approaches to Achieve More Human-Centric Software Engineering,Evaluation of Novel Approaches to Software Engineering,,,,10.1007/978-3-030-70006-5_18,John GrundyHourieh KhalajzadehJennifer McIntoshTanjila KanijIngo Mueller,2021,http://link.springer.com/chapter/10.1007/978-3-030-70006-5_18,Chapter
,,A System for Traffic Events Detection Using Fuzzy C-Means,Knowledge Graphs and Semantic Web,,,,10.1007/978-3-030-91305-2_6,Hayder Endo PérezAmed Leiva MederosDaniel Galvez LioLuis Ernesto HurtadoDoymer García DuarteGhislain Auguste Atemezing,2021,http://link.springer.com/chapter/10.1007/978-3-030-91305-2_6,Chapter
,,Systematic Literature Review on Service Oriented Architecture Modeling,Computational Science and Its Applications – ICCSA 2021,,,,10.1007/978-3-030-86970-0_15,Khouloud ZaafouriMariam ChaabaneIsmael Bouassida Rodriguez,2021,http://link.springer.com/chapter/10.1007/978-3-030-86970-0_15,Chapter
,,Data-Driven Requirements Engineering: A Guided Tour,Evaluation of Novel Approaches to Software Engineering,,,,10.1007/978-3-030-70006-5_4,Xavier Franch,2021,http://link.springer.com/chapter/10.1007/978-3-030-70006-5_4,Chapter
,,Querying Medical Imaging Datasets Using Spatial Logics (Position Paper),Advances in Model and Data Engineering in the Digitalization Era,,,,10.1007/978-3-030-87657-9_22,Gina BelmonteGiovanna BrocciaLaura BussiVincenzo CianciaDiego LatellaMieke Massink,2021,http://link.springer.com/chapter/10.1007/978-3-030-87657-9_22,Chapter
,,A Conceptual Model: Securing Resources Through a Decentralized Access Control Using Blockchain Technology for Smart Farming,Advances in Visual Informatics,,,,10.1007/978-3-030-90235-3_35,Noor Afiza Mat RazaliNormaizeerah Mohd NoorNor Asiakin HasbullahLiew Ching ChenKhairul Khalil IshakNorlisa Francis Nordin,2021,http://link.springer.com/chapter/10.1007/978-3-030-90235-3_35,Chapter
,,Conditional Generative Adversarial Networks to Model Urban Outdoor Air Pollution,Smart Cities,,,,10.1007/978-3-030-69136-3_7,Jamal Toutouh,2021,http://link.springer.com/chapter/10.1007/978-3-030-69136-3_7,Chapter
,,A Revenue-Based Service Management Algorithm for Vehicular Cloud Computing,Distributed Computing and Internet Technology,,,,10.1007/978-3-030-65621-8_6,Sohan Kumar PandeSanjaya Kumar PandaSatyabrata Das,2021,http://link.springer.com/chapter/10.1007/978-3-030-65621-8_6,Chapter
,,Energy Efficiency Through a Wearable Device for the Elderly Based on the Integrated Smart Neighbourhood Framework of Malaysia 5.0 Model,Advances in Visual Informatics,,,,10.1007/978-3-030-90235-3_55,Halimah Badioze ZamanAzlina AhmadKien Sin Aw,2021,http://link.springer.com/chapter/10.1007/978-3-030-90235-3_55,Chapter
,,A Neural Network Approach to High Cost Patients Detection,Computational Science and Its Applications – ICCSA 2021,,,,10.1007/978-3-030-86970-0_37,Franklin Messias BarbosaRenato Porfirio Ishii,2021,http://link.springer.com/chapter/10.1007/978-3-030-86970-0_37,Chapter
,,Hyperparameter Analysis of Temporal Graph Convolutional Network Model Applied to Traffic Prediction,Simulation Tools and Techniques,,,,10.1007/978-3-030-72792-5_53,Jing HuangLei ChenYuan AnKailiang ZhangPing Cui,2021,http://link.springer.com/chapter/10.1007/978-3-030-72792-5_53,Chapter
,,Services Extraction for Integration in Software Projects via an Agent-Based Negotiation System,"Highlights in Practical Applications of Agents, Multi-Agent Systems, and Social Good. The PAAMS Collection",,,,10.1007/978-3-030-85710-3_20,David Berrocal-MacíasZakieh Alizadeh-SaniFrancisco Pinto-SantosAlfonso González-BrionesPablo ChamosoJuan M. Corchado,2021,http://link.springer.com/chapter/10.1007/978-3-030-85710-3_20,Chapter
,,FogProtect: Protecting Sensitive Data in the Computing Continuum,Advances in Service-Oriented and Cloud Computing,,,,10.1007/978-3-030-71906-7_17,Dhouha AyedEva JahoClemens LachnerZoltán Ádám MannRobert SeidlMike Surridge,2021,http://link.springer.com/chapter/10.1007/978-3-030-71906-7_17,Chapter
,,A Brief Systematic Review of the Latest Advances in IOT Platforms in Agriculture,Technologies and Innovation,,,,10.1007/978-3-030-88262-4_14,Elke YeroviCarlota Delgado-VeraWilson Molina-OleasLaura Ortega-Ponce,2021,http://link.springer.com/chapter/10.1007/978-3-030-88262-4_14,Chapter
,,Hybrid Context-Aware Method for Quality Assessment of Data Streams,Service-Oriented Computing  – ICSOC 2020 Workshops,,,,10.1007/978-3-030-76352-7_2,Mostafa Mirzaie,2021,http://link.springer.com/chapter/10.1007/978-3-030-76352-7_2,Chapter
,,Explaining Ridesharing: Selection of Explanations for Increasing User Satisfaction,Multi-Agent Systems,,,,10.1007/978-3-030-82254-5_6,David ZarNoam HazonAmos Azaria,2021,http://link.springer.com/chapter/10.1007/978-3-030-82254-5_6,Chapter
,,Transfer Learning for Arthropodous Identification and its Use in the Transmitted Disease Diagnostic,"Highlights in Practical Applications of Agents, Multi-Agent Systems, and Social Good. The PAAMS Collection",,,,10.1007/978-3-030-85710-3_21,David Garcia-RetuertaRoberto Casado-VaraSara Rodríguez,2021,http://link.springer.com/chapter/10.1007/978-3-030-85710-3_21,Chapter
,,A Cloud-Based Anomaly Detection for IoT Big Data,Cyber-Physical Security for Critical Infrastructures Protection,,,,10.1007/978-3-030-69781-5_7,Omri SoceanuAllon AdirEhud AharoniLev GreenbergHabtamu Abie,2021,http://link.springer.com/chapter/10.1007/978-3-030-69781-5_7,Chapter
,,Human Behavior-Oriented Architectural Design,Software Architecture,,,,10.1007/978-3-030-86044-8_9,Moamin B. AbughazalaMahyar T. MoghaddamHenry MucciniKarthik Vaidhyanathan,2021,http://link.springer.com/chapter/10.1007/978-3-030-86044-8_9,Chapter
,,Demand Response Control in Electric Water Heaters: Evaluation of Impact on Thermal Comfort,Smart Cities,,,,10.1007/978-3-030-69136-3_6,Rodrigo PorteiroJuan ChavatSergio NesmachnowLuis Hernández-Callejo,2021,http://link.springer.com/chapter/10.1007/978-3-030-69136-3_6,Chapter
,,Conceptual Modeling of Gender-Inclusive Requirements,Conceptual Modeling,,,,10.1007/978-3-030-89022-3_31,Inês NunesAna MoreiraJoão Araujo,2021,http://link.springer.com/chapter/10.1007/978-3-030-89022-3_31,Chapter
,,Infrared Thermography and Computational Intelligence in Analysis of Facial Video-Records,Advances in Computational Collective Intelligence,,,,10.1007/978-3-030-88113-9_51,Aleš ProcházkaHana CharvátováOldřich Vyšata,2021,http://link.springer.com/chapter/10.1007/978-3-030-88113-9_51,Chapter
,,XYZ Monitor: IoT Monitoring of Infrastructures Using Microservices,Service-Oriented Computing  – ICSOC 2020 Workshops,,,,10.1007/978-3-030-76352-7_43,Marc VilaMaria-Ribera SanchoErnest Teniente,2021,http://link.springer.com/chapter/10.1007/978-3-030-76352-7_43,Chapter
,,The Streaming Approach to Training Restricted Boltzmann Machines,Artificial Intelligence and Soft Computing,,,,10.1007/978-3-030-87986-0_27,Piotr DudaLeszek RutkowskiPiotr WoldanPatryk Najgebauer,2021,http://link.springer.com/chapter/10.1007/978-3-030-87986-0_27,Chapter
